词,背景弹幕评论词数,R,背景词数乘R,wiki词数,wiki权重,词库估计词数,R口径,R分子_全tag总量,R分母_样本总量
绯色,2,1.1036720331575072,2.2073440663150143,188,1.0,190.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
伊达,0,1.1036720331575072,0.0,189,1.0,189.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
作为,14,1.1036720331575072,15.4514084642051,172,1.0,187.4514084642051,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
一同,0,1.1036720331575072,0.0,187,1.0,187.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
进行,5,1.1036720331575072,5.518360165787536,181,1.0,186.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
发表,0,1.1036720331575072,0.0,184,1.0,184.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
及其,2,1.1036720331575072,2.2073440663150143,180,1.0,182.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
拆分,16,1.1036720331575072,17.658752530520115,164,1.0,181.6587525305201,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
犯泽,5,1.1036720331575072,5.518360165787536,176,1.0,181.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
相关,3,1.1036720331575072,3.3110160994725213,178,1.0,181.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
景光,0,1.1036720331575072,0.0,181,1.0,181.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
协助,0,1.1036720331575072,0.0,178,1.0,178.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
关系,17,1.1036720331575072,18.762424563677623,158,1.0,176.76242456367763,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
形象,0,1.1036720331575072,0.0,176,1.0,176.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
解决,6,1.1036720331575072,6.622032198945043,166,1.0,172.62203219894505,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
原创,9,1.1036720331575072,9.933048298417564,162,1.0,171.93304829841756,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
假扮,1,1.1036720331575072,1.1036720331575072,169,1.0,170.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
假面,1,1.1036720331575072,1.1036720331575072,168,1.0,169.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
寻找,5,1.1036720331575072,5.518360165787536,163,1.0,168.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
恋爱,5,1.1036720331575072,5.518360165787536,163,1.0,168.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
作品,13,1.1036720331575072,14.347736431047593,154,1.0,168.3477364310476,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
能力,11,1.1036720331575072,12.140392364732579,156,1.0,168.14039236473258,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
风见,0,1.1036720331575072,0.0,168,1.0,168.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
服部,8,1.1036720331575072,8.829376265260057,159,1.0,167.82937626526007,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
怪盗,1,1.1036720331575072,1.1036720331575072,166,1.0,167.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
驾驶,1,1.1036720331575072,1.1036720331575072,162,1.0,163.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
本篇,0,1.1036720331575072,0.0,163,1.0,163.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
茱蒂,0,1.1036720331575072,0.0,162,1.0,162.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
推出,0,1.1036720331575072,0.0,161,1.0,161.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
电话,0,1.1036720331575072,0.0,160,1.0,160.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
超人,2,1.1036720331575072,2.2073440663150143,157,1.0,159.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
列车,3,1.1036720331575072,3.3110160994725213,155,1.0,158.3110160994725,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
经常,5,1.1036720331575072,5.518360165787536,152,1.0,157.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
现场,4,1.1036720331575072,4.414688132630029,153,1.0,157.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
信息,1,1.1036720331575072,1.1036720331575072,154,1.0,155.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
暗号,10,1.1036720331575072,11.036720331575072,143,1.0,154.03672033157508,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
取自,0,1.1036720331575072,0.0,154,1.0,154.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
毛利兰,17,1.1036720331575072,18.762424563677623,135,1.0,153.76242456367763,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
小姐,4,1.1036720331575072,4.414688132630029,149,1.0,153.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
炸弹,4,1.1036720331575072,4.414688132630029,149,1.0,153.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
红色,4,1.1036720331575072,4.414688132630029,149,1.0,153.41468813263003,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
询问,0,1.1036720331575072,0.0,152,1.0,152.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
强行,1,1.1036720331575072,1.1036720331575072,148,1.0,149.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
日文,2,1.1036720331575072,2.2073440663150143,146,1.0,148.20734406631502,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
魔术,5,1.1036720331575072,5.518360165787536,142,1.0,147.51836016578753,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
