词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
心里,917.7580071866215,61,84.35554823839315,3,7.311016099472521,4,10.87964012269815
人物,916.0676476775101,72,99.5672044781034,15,43.55508049736261,27,9.200495810635816
难过,895.2500325118212,56,77.44115903852486,2,3.2073440663150143,1,11.560390412887013
炸死,889.728912507146,59,81.58979255844584,1,7.103672033157507,6,10.90490470201649
可惜,880.7515385641373,60,82.9726703984195,8,9.829376265260057,1,10.614959532276476
班长,875.8115646433758,63,87.12130391834047,0,18.0,18,10.05278301922893
希望,845.0719765276829,71,98.18432663812975,16,79.65875253052012,62,8.606994674845591
根本,840.4247883185818,59,81.58979255844584,8,13.829376265260057,5,10.30061190211452
忘记,833.6987521258596,59,81.58979255844584,1,15.103672033157507,14,10.21817467581683
后来,830.7995062660696,62,85.73842607836681,3,26.31101609947252,23,9.689931857469608
世界,830.5562302317653,65,89.88705959828779,8,41.82937626526006,33,9.239997769907985
想到,824.2055707350717,64,88.50418175831413,8,38.82937626526006,30,9.312617261247606
居然,821.0731775637964,62,85.73842607836681,25,29.59180082893768,2,9.576489972107925
故事,820.963855496762,63,87.12130391834047,16,34.65875253052012,17,9.423227368890831
只能,819.874666719963,60,82.9726703984195,15,21.555080497362606,5,9.881261658604885
不行,818.8720485979849,58,80.20691471847218,12,15.244064397890085,2,10.20949442416831
本来,817.4389166569581,57,78.82403687849852,8,12.829376265260057,4,10.370426953861553
漫画,816.608614947155,93,128.60763911755024,38,769.9395372599853,728,6.349612049100417
拆弹,815.5976353156257,59,81.58979255844584,1,19.10367203315751,18,9.996319511799008
我们,805.1050217490448,66,91.26993743826145,30,64.11016099472522,31,8.821141378492225
不过,795.5959563584375,62,85.73842607836681,21,40.177112696307645,17,9.279339413476581
美和子,795.1564542555006,71,98.18432663812975,1,133.1036720331575,132,8.098608825685043
高佐,782.6914907202765,46,63.61238063878828,0,1.0,1,12.304074817835424
万圣节,770.7117374940464,48,66.3781363187356,0,3.0,3,11.610927637275479
毕竟,770.2502062428847,53,73.2925255186039,10,11.036720331575072,0,10.509259993331401
是因为,769.2023486305666,54,74.67540335857755,8,13.829376265260057,5,10.30061190211452
之后,762.5062635635903,73,100.95008231807705,13,230.3477364310476,216,7.5533000672655115
男人,753.4220715090678,64,88.50418175831413,6,87.62203219894505,81,8.512841501280711
他俩,752.6476164943981,46,63.61238063878828,2,2.2073440663150143,0,11.831778797403846
温柔,744.9265332896935,56,77.44115903852486,3,28.31101609947252,25,9.619258576942435
特别,727.1900095122517,63,87.12130391834047,6,103.62203219894505,97,8.346867836067432
比较,724.560280182651,53,73.2925255186039,14,21.4514084642051,6,9.885868648348533
样子,715.6672521979298,53,73.2925255186039,13,24.347736431047593,10,9.764532565005847
西瓜,713.6397452672323,47,64.99525847876194,5,6.518360165787536,1,10.979873947272994
出现,707.444338952163,75,103.71583799802437,21,480.17711269630763,457,6.8209865784012536
人设,705.5157183933154,43,59.46374711886731,1,2.1036720331575074,1,11.864636061077652
犯人,701.8757038072741,72,99.5672044781034,19,381.96976862999264,361,7.0492659454110616
变成,699.3724754681962,53,73.2925255186039,16,30.658752530520115,13,9.542207346787006
殉职,690.0018678188735,58,80.20691471847218,0,80.0,80,8.602772843722931
