词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
世界,1139.006523760397,45,122.89991162174105,6,39.62203219894504,33,9.26775706125818
突然,1126.27001094091,42,114.70658418029166,4,22.41468813263003,18,9.818704122255786
我们,1118.5236115973473,46,125.63102076889086,24,57.48812879578017,31,8.903243838597541
感情,1109.4519538066986,41,111.97547503314185,4,20.41468813263003,16,9.907990597747672
高佐,1106.6573759802302,33,90.12660185594343,0,1.0,1,12.278920465115165
人物,1105.6039798514778,44,120.16880247459126,14,42.4514084642051,27,9.200424378742136
不过,1100.1083253204774,43,117.43769332744145,17,35.76242456367763,17,9.36759139378819
想到,1097.393918668909,43,117.43769332744145,6,36.62203219894504,30,9.344477804150491
根本,1083.1352286126382,38,103.78214759169245,6,11.622032198945043,5,10.436623771498645
本来,1082.28628762178,38,103.78214759169245,7,11.72570423210255,4,10.428443742364943
出现,1077.949285048842,58,158.40433053468848,17,475.7624245636776,457,6.8050493405720704
透子,1068.8752698699086,34,92.85771100309324,3,3.3110160994725213,0,11.510894015407107
完全,1068.4478195680483,42,114.70658418029166,17,37.76242456367763,19,9.31461630736646
他俩,1064.0909405886468,33,90.12660185594343,2,2.2073440663150143,0,11.806624444683587
松佐,1062.8439781364784,30,81.93327441449404,0,0.0,0,12.97206764567511
很多,1029.423248130499,41,111.97547503314185,17,42.76242456367763,24,9.193292083162104
成为,1025.1100059927714,45,122.89991162174105,6,101.62203219894505,95,8.341014997210372
万圣节,1012.5443646160819,32,87.39549270879364,0,3.0,3,11.58577328455522
可惜,1004.5112092948644,34,92.85771100309324,6,7.622032198945043,1,10.817746834847162
名柯,1002.9901591700825,35,95.58882015024304,9,10.933048298417564,1,10.492755926829298
人质,1000.0048988571427,39,106.51325673884224,0,35.0,35,9.388548707219
温柔,999.6800083554364,38,103.78214759169245,2,27.207344066315013,25,9.632485273752986
这些,997.239419451387,36,98.31992929739285,9,15.933048298417564,6,10.142800412671074
结果,993.8532311304241,39,106.51325673884224,11,37.14039236473258,25,9.33079375806932
人气,986.8026621511686,36,98.31992929739285,8,17.82937626526006,9,10.036649428076183
接受,980.5671301911419,39,106.51325673884224,2,42.20734406631502,40,9.206057163338599
忘记,974.3387864522502,35,95.58882015024304,1,15.103672033157507,14,10.19302032309657
变成,946.5771311714911,36,98.31992929739285,13,27.347736431047593,13,9.627520462391052
除了,944.7242389676262,34,92.85771100309324,4,15.41468813263003,11,10.173891093828017
西瓜,937.7125869450214,29,79.20216526734424,1,2.1036720331575074,1,11.839481708357393
安室,932.1576845462938,53,144.74878479893945,9,685.9330482984176,676,6.439830813371523
只能,924.7790413227266,34,92.85771100309324,13,19.347736431047593,5,9.959097971862786
