site,novel_id,title,createDate,bookmarkCount,userName,url,tags_joined,matched_characters_joined,primary_character_proxy
Pixiv,11685618,マジかよ…,2019-09-17T13:21:54+09:00,204,滴,https://www.pixiv.net/novel/show.php?id=11685618,コナン夢 | 女主 | 捏造 | 人外 | 諸伏景光 | 萩原研二 | 松田陣平,诸伏景光 | 萩原研二 | 松田阵平,诸伏景光
Pixiv,11685212,かりそめはバーボンに溶かしてＩ≪萩原研二マンション爆弾爆破事件≫,2019-09-17T09:22:39+09:00,16,ねこ,https://www.pixiv.net/novel/show.php?id=11685212,オリ主 | コナン夢 | 松田陣平 | 萩原研二 | 諸伏景光 | 降谷零,松田阵平 | 萩原研二 | 诸伏景光 | 降谷零,松田阵平
Pixiv,11684099,お前の声を聞かせてくれ,2019-09-17T00:27:37+09:00,2572,さくま,https://www.pixiv.net/novel/show.php?id=11684099,DC夢 | コナン夢 | 松田陣平 | 女主人公 | お待ちしておりました!そして続きを正座待機!!! | 続き待ってます! | コナン夢小説500users入り | 是非続編を | 続きを全裸待機,松田阵平,松田阵平
Pixiv,11683917,同期組といろんな場所で××する,2019-09-17T00:04:35+09:00,762,ハナ,https://www.pixiv.net/novel/show.php?id=11683917,コナン夢 | 警察学校組 | 松田陣平 | 萩原研二 | 諸伏景光 | 降谷零 | コナン夢小説500users入り,松田阵平 | 萩原研二 | 诸伏景光 | 降谷零,松田阵平
Pixiv,11683836,逆行した組織の爆弾魔が爆処の妹になってしまった件12,2019-09-17T00:00:01+09:00,592,刹那,https://www.pixiv.net/novel/show.php?id=11683836,コナン夢 | 松田陣平 | 逆行 | コナン夢小説100users入り,松田阵平,松田阵平
Pixiv,11682026,暗殺特化幼女の交流日和,2019-09-16T20:30:20+09:00,1201,しろくろ,https://www.pixiv.net/novel/show.php?id=11682026,コナン夢 | 幼女 | 宮野志保 | 萩原研二 | 松田陣平 | 需要ならここに!! | コナン夢小説1000users入り,萩原研二 | 松田阵平,萩原研二
Pixiv,11680994,伊達とナタリーさんにいっぱい幸せになってもらいたかったのに、私が幸せもらった,2019-09-16T17:13:09+09:00,375,かりの,https://www.pixiv.net/novel/show.php?id=11680994,コナン夢 | 警察学校組 | 松田陣平 | オリ主,松田阵平,松田阵平
Pixiv,11679955,無言キャンペーン実施してたら死ぬほど嬉しいことがあった。,2019-09-16T12:28:05+09:00,1132,りんご,https://www.pixiv.net/novel/show.php?id=11679955,コナン夢 | 降谷零 | 諸伏景光 | 男主 | 松田陣平 | 萩原研二 | 救済 | もっと評価されるべき | なにこいつらかわいい,降谷零 | 诸伏景光 | 松田阵平 | 萩原研二,降谷零
Pixiv,11679825,カウントダウン １【DC】,2019-09-16T11:55:53+09:00,192,タカセ,https://www.pixiv.net/novel/show.php?id=11679825,コナン夢 | オリ主 | 松田陣平 | 江戸川コナン,松田阵平 | 江户川柯南,松田阵平
Pixiv,11679315,松田陣平は妻に弱い　６,2019-09-16T09:12:31+09:00,844,神有月＊ツイッターにいてます,https://www.pixiv.net/novel/show.php?id=11679315,コナン夢 | 女主人公 | 松田陣平 | コナン夢小説500users入り,松田阵平,松田阵平
Pixiv,11677818,逆行した組織の爆弾魔が爆処の妹になってしまった件11,2019-09-16T00:00:01+09:00,607,刹那,https://www.pixiv.net/novel/show.php?id=11677818,コナン夢 | 萩原研二 | 逆行 | 松田陣平,萩原研二 | 松田阵平,萩原研二
